Date,Voucher,Party,Product,Qty,Rate
2017-06-07,2171,MAYURI CATERING,SILVER COATED SPOON,100,36.0
2017-06-07,2172,VKP,100LEAF -SP,6,590.0
2017-06-07,2172,VKP,APPLE WINE,110,24.0
2017-06-07,2173,MANCHIKANTI HARI,STRECH FILM-600MTRS,24,450.0
2017-06-07,2173,MANCHIKANTI HARI,13*16 BLUE,30,13.0
2017-06-07,2173,MANCHIKANTI HARI,SILVER POUCH 8*10,30,80.0
2017-06-07,2173,MANCHIKANTI HARI,5*7 ESWAR,10,160.0
2017-06-07,2173,MANCHIKANTI HARI,TIFFIN PLATES NO-7,800,10.0
2017-06-07,2173,MANCHIKANTI HARI,CHEF CAP,100,65.0
2017-06-07,2173,MANCHIKANTI HARI,HAND GLOVES 100PCS-,100,50.0
2017-06-07,2173,MANCHIKANTI HARI,VAT AMOUNT,1,1734.0
2017-06-07,2174,BARGAVI PROVISONS,TIRUMALA M.W 13*16,50,103.0
2017-06-07,2174,BARGAVI PROVISONS,TIRUMALA 16*20 M.W,25,103.0
2017-06-07,2175,MANCHIKANTI,NAPKEEN 2ND,50,10.0
2017-06-07,2175,MANCHIKANTI,PAPER TEA-100ML,10,32.0
2017-06-07,2175,MANCHIKANTI,TIRUMALA M.W 13*16,3,105.0
2017-06-07,2175,MANCHIKANTI,HAND GLOVE 25PCS,5,12.0
2017-06-07,2175,MANCHIKANTI,SILVER FOIL ROLL,1,185.0
2017-06-07,2176,SAIBABA GENERAL-KAV,CYCLE-BLU-10*12,350,7.0
2017-06-07,2176,SAIBABA GENERAL-KAV,CYCLE-BLU-10*12,50,7.0
2017-06-07,2177,WHITE HORSE,250 ML PLASTIC BOUL,50,3.0
2017-06-07,2177,WHITE HORSE,500ML PLASTIC BOULS,50,3.7
2017-06-07,2178,RVRR,4*5 MEET,30,16.0
2017-06-07,2178,RVRR,5*6 POLY,30,21.0
2017-06-07,2178,RVRR,16*20 100-BK,50,32.0
2017-06-07,2178,RVRR,10*12 SARAS-BK,300,8.5
2017-06-07,2178,RVRR,14 GREEN,1000,1.6
2017-06-07,2178,RVRR,"TAPE ROLL 2"" 50MTRS",3,130.0
2017-06-07,2178,RVRR,NO-000,25,150.0
2017-06-07,2179,RAJASURESH,14 GREEN,2000,1.6
2017-06-07,2180,SARNESWARA TRADERS,FOM-SPIRAL(143*50),1,2360.0
2017-06-07,2180,SARNESWARA TRADERS,FOM-HEX(121*70),1,2420.0
2017-06-07,2181,BALAJI PLASTICS,FOM-HEX(121*70),1,2420.0
2017-06-07,2181,BALAJI PLASTICS,FOM-SPIRAL(143*50),1,2360.0
2017-06-07,2182,TEACHER,CYCLE-BLU-13*16,750,11.5
2017-06-07,2182,TEACHER,DURGA 10*12 BK,980,8.4
2017-06-07,2183,RVRR,DONA-100PCS(8200),1,2132.0
2017-06-07,2183,RVRR,FORK-MED,50,14.0
2017-06-07,2183,RVRR,TAMBULAM 7*10,20,12.0
2017-06-07,2186,GV,NO-0,25,142.0
2017-06-07,2186,GV,NO-00,25,142.0
2017-06-07,2186,GV,NO-1,25,142.0
2017-06-07,2187,KISHORE PLASTIC,LITE FOAM(1200),5,1620.0
2017-06-07,2188,LOCK,VISHNU 250ML,200,31.0
2017-06-07,2188,LOCK,BLACK DOG-350ML,100,26.0
2017-06-07,2189,PALURU MALAKONDARED,CYCLE 13*16 BK KG,50,82.0
2017-06-07,2190,KVKC,13*16 WHITE RK,100,16.0
2017-06-07,2190,KVKC,DHARAM 1KG SPECIAL,10,150.0
2017-06-07,2190,KVKC,DHARAM 1/2KG SPECIA,10,75.0
2017-06-07,2190,KVKC,CYCLE 10*12 BK KG,5,85.0
2017-06-07,2190,KVKC,PRESSING COVER 2.5*,400,10.0
2017-06-07,2190,KVKC,"SILVER PLATES -10""",500,6.5
2017-06-07,2191,SB.ENTERPRISES,FOM-SPIRAL(143*50),1,2430.0
2017-06-07,2191,SB.ENTERPRISES,VISHNU CHOTA WINE,100,26.0
2017-06-07,2191,SB.ENTERPRISES,13GREEN BUFFET,10,150.0
2017-06-07,2192,T.GOPI-SPT,PP 3*4,5,145.0
2017-06-07,2192,T.GOPI-SPT,PP 4*4,15,140.0
2017-06-07,2192,T.GOPI-SPT,PP 4*5 +,15,142.0
2017-06-07,2192,T.GOPI-SPT,PP +(6*7),5,130.0
2017-06-07,2192,T.GOPI-SPT,PP+(6*8),15,130.0
2017-06-07,2192,T.GOPI-SPT,PP +(9*11),5,130.0
2017-06-07,2192,T.GOPI-SPT,PP 12*14 +,10,138.0
2017-06-07,2193,SEKHAR MARKET,CYCLE-BLU-10*12,350,6.5
2017-06-07,2193,SEKHAR MARKET,CYCLE-BLU-10*12,50,6.5
2017-06-07,2193,SEKHAR MARKET,10*10 TEJA,25,125.0
2017-06-07,2195,SVP-BUCHHI,FOM-HEX(121*70),1,2420.0
2017-06-07,2195,SVP-BUCHHI,FOM-SPIRAL(143*50),1,2431.0
2017-06-07,2195,SVP-BUCHHI,BLACK DOG-350ML,100,26.0
2017-06-07,2195,SVP-BUCHHI,CLASSIC 250ML,200,24.0
2017-06-07,2195,SVP-BUCHHI,VISHNU 300ML,300,28.0
2017-06-07,2195,SVP-BUCHHI,17*23 SANTOSH,50,30.0
2017-06-07,2195,SVP-BUCHHI,TIRUMALA-50(17*23),50,32.5
2017-06-07,2195,SVP-BUCHHI,PP 3*3,5,145.0
2017-06-07,2195,SVP-BUCHHI,GARUDA 13*16 BLUE,550,12.5
2017-06-07,2195,SVP-BUCHHI,GARUDA 16*20 BLUE,100,24.0
2017-06-07,2195,SVP-BUCHHI,APPLE WATER,100,21.0
2017-06-07,2196,KKAR-SPT,CYCLE-BLU-10*12,350,7.0
2017-06-07,2196,KKAR-SPT,CYCLE-BLU-10*12,50,7.0
2017-06-07,2196,KKAR-SPT,CYCLE-BLU-13*16,250,12.5
2017-06-07,2196,KKAR-SPT,TIRUMALA 16*20 M.W,25,105.0
2017-06-07,2196,KKAR-SPT,CYCLE-BLU-13*16,10,12.5
2017-06-07,2196,KKAR-SPT,VISHNU 250ML,100,31.0
2017-06-07,2196,KKAR-SPT,APPLE 300ML,20,29.0
2017-06-07,2197,RAMAKRISHNA GENERAL,BLACK DOG-350ML,200,26.0
2017-06-07,2197,RAMAKRISHNA GENERAL,5*6 ANKIT(20MIC),210,20.5
2017-06-07,2198,MADHUFANCY,APPLE WATER,100,21.0
2017-06-07,2199,DSP-SEKHAR,NIFTY 10*12 PINK,1800,5.7
2017-06-07,2199,DSP-SEKHAR,SMITH 4*5 POLY,939,12.5
2017-06-07,2199,DSP-SEKHAR,LITE FOAM(1200),5,1620.0
2017-06-07,2199,DSP-SEKHAR,90ML RANGEELA,560,14.5
2017-06-07,2199,DSP-SEKHAR,CYCLE-BLU-13*16,500,12.0
2017-06-07,2199,DSP-SEKHAR,CLASSIC 250ML,200,24.0
2017-06-07,2200,N.SRINIVASULU-VGIRI,VISHNU 250ML,100,31.0
2017-06-07,2200,N.SRINIVASULU-VGIRI,17*23 KESHAV M.W,10,105.0
2017-06-07,2201,SRINIVASA SAI FOOTW,SMART BOWL(3500),2,1580.0
2017-06-07,2201,SRINIVASA SAI FOOTW,SPOON BIG CL,100,18.0
2017-06-07,2202,CH.REDDY,DONA-VAI-9100,1,1730.0
2017-06-07,2203,SMS TRADERS-GDR,LITE FOAM(1200),1,1680.0
2017-06-07,2204,TULASI GENERAL STOR,PP +7*9,5,138.0
2017-06-07,2204,TULASI GENERAL STOR,PP + 7*10,5,138.0
2017-06-07,2204,TULASI GENERAL STOR,PP +(6*7),5,138.0
2017-06-07,2204,TULASI GENERAL STOR,PP +(5*7),3,138.0
2017-06-07,2204,TULASI GENERAL STOR,HIGH COUNT 10*12,4,140.0
2017-06-07,2204,TULASI GENERAL STOR,TIRUMALA 16*20 M.W,1,110.0
2017-06-07,2204,TULASI GENERAL STOR,PRINT-16*20 CARRY,5,140.0
2017-06-07,2205,B.OBULREDDY,CLASSIC 300ML,100,25.0
2017-06-07,2206,CBR,14 GREEN,1000,1.6
2017-06-07,2207,AVS-ADURUPALLY,10*10 NILKAMAL,25,100.0
2017-06-07,2207,AVS-ADURUPALLY,10*10 TEJA,25,125.0
2017-06-07,2207,AVS-ADURUPALLY,4*5 MEET,278,15.5
2017-06-07,2207,AVS-ADURUPALLY,14 GREEN,2000,1.6
2017-06-07,2208,SVSGS,APPLE WATER,100,22.0
2017-06-07,2209,KPR,PEPSI 2.0,100,25.5
2017-06-07,2210,KVK,FOM-SPIRAL(143*50),1,2430.0
2017-06-07,2211,GVS,CYCLE-BK-10*12,350,7.0
2017-06-07,2211,GVS,CYCLE-BK-10*12,50,7.0
2017-06-07,2211,GVS,CYCLE-BK-13*16,100,12.0
2017-06-07,2212,K.SRIHARI,TIRUMALA-50(16*20),240,26.0
2017-06-07,2212,K.SRIHARI,4*5 TRISUL,300,15.0
2017-06-07,2213,CHAKKA RANGAYYA,TIRUMALA-50(13*16),200,14.0
2017-06-07,2214,KHAN AND KHAN PLAST,APPLE WINE,220,23.5
2017-06-07,2215,VSP,14 GREEN,1000,1.6
2017-06-07,2215,VSP,VISHNU 250ML,100,31.0
2017-06-07,2215,VSP,BLACK DOG-350ML,100,26.0
2017-06-07,2216,S.RAMMOHAN-NELLORE,90ML RANGEELA,140,14.75
2017-06-07,2217,RAVIKANTH GDR,DONA-VAI-9100,5,1730.0
2017-06-07,2218,BABASTORES,500ML PLASTIC BOULS,1000,3.65
2017-06-07,2317,TP13,GANESH 13*16,100,22.0
2017-06-07,2317,TP13,GANESH 16*20,100,38.0
2017-06-07,2317,TP13,GANESH 10*12,100,11.0
2017-06-07,2317,TP13,CLASSIC ENJOY(750),1,1320.0
2017-06-07,2317,TP13,TIRUMALA M.W 10*12,5,100.0
2017-06-07,2317,TP13,APPLE WINE,110,23.0
2017-06-07,2317,TP13,APPLE WATER,100,21.0
2017-06-07,2317,TP13,DONA-VAI-9100,1,1700.0
2017-06-07,2317,TP13,TAMBULAM 8*11,100,13.5
2017-06-07,2317,TP13,RUBBER,5,280.0
2017-06-07,2317,TP13,LITE FOAM(1200),1,1620.0
2017-06-07,2317,TP13,5*6 POLY,230,20.0
2017-06-08,2219,SARNESWARA TRADERS,CLASSIC 300ML,200,25.0
2017-06-08,2219,SARNESWARA TRADERS,APPLE 300ML,100,28.0
2017-06-08,2219,SARNESWARA TRADERS,VISHNU CHOTA WINE,300,25.0
2017-06-08,2220,KPR,BLACK DOG-350ML,100,26.0
2017-06-08,2220,KPR,CYCLE-10*12(100)-BL,700,5.8
2017-06-08,2220,KPR,NIFTY 10*12 PINK,720,5.7
2017-06-08,2220,KPR,NIFTY 10*12 PINK,20,5.7
2017-06-08,2220,KPR,CLASSIC 250ML,200,24.0
2017-06-08,2221,P.RAVI,PAPER TEA-65ML(100),150,27.5
2017-06-08,2222,CHEKKA SUDHAKAR,PAPER TEA -65ML,200,15.5
2017-06-08,2223,DVR-CHITWELI,CYCLE-BLU-10*12,350,7.0
2017-06-08,2223,DVR-CHITWELI,CYCLE-BLU-10*12,50,7.0
2017-06-08,2223,DVR-CHITWELI,GARUDA 16*20 BLUE,150,24.0
2017-06-08,2223,DVR-CHITWELI,NO-1,5,148.0
2017-06-08,2223,DVR-CHITWELI,NO-000,25,149.0
2017-06-08,2224,KESAVA PROVISIONS,VISHNU 300ML,400,28.5
2017-06-08,2224,KESAVA PROVISIONS,BLACK DOG-350ML,100,26.0
2017-06-08,2224,KESAVA PROVISIONS,100LEAF -SP,6,590.0
2017-06-08,2224,KESAVA PROVISIONS,DHARAM BOX-METRO,110,38.0
2017-06-08,2224,KESAVA PROVISIONS,FANCY IC,20,20.0
2017-06-08,2225,MSR,SPOON-SMALL-NAT,200,8.75
2017-06-08,2225,MSR,SPOON MED M.W,100,10.0
2017-06-08,2225,MSR,TAMBULAM 7*10,20,12.0
2017-06-08,2225,MSR,TAMBULAM 8*11,20,14.0
2017-06-08,2226,BSR,GOLD LEAF SITTING,4,680.0
2017-06-08,2228,LOCK,VISHNU 250ML,100,31.0
2017-06-08,2229,SB.ENTERPRISES,10*10 TEJA,25,122.0
2017-06-08,2229,SB.ENTERPRISES,10*10 MORE,25,135.0
2017-06-08,2229,SB.ENTERPRISES,TIRUMALA-50(16*20),120,26.0
2017-06-08,2229,SB.ENTERPRISES,PAPER TEA,160,18.0
2017-06-08,2229,SB.ENTERPRISES,LITE FOAM(1200),3,1680.0
2017-06-08,2229,SB.ENTERPRISES,LITEFOAM COLOUR(120,2,1680.0
2017-06-08,2229,SB.ENTERPRISES,90ML RANGEELA,420,15.0
2017-06-08,2230,MRG,APPLE 300ML,100,28.5
2017-06-08,2231,K.NAGIREDDY-KALIGIR,13*16 BLACK RK,500,15.75
2017-06-08,2232,MT,BLACK DOG-350ML,100,26.0
2017-06-08,2232,MT,VISHNU 250ML,100,30.5
2017-06-08,2233,K.NAGIREDDY-KALIGIR,DURGA 10*12 BLUE,800,5.5
2017-06-08,2233,K.NAGIREDDY-KALIGIR,DURGA 10*12 BK,400,5.7
2017-06-08,2234,CH.MALLIKARJUNA,DURGA 13*16 BK,800,10.4
2017-06-08,2235,KPR,DONA-VAI-9100,1,1730.0
2017-06-08,2235,KPR,SUPER ROPE(SPECIAL),75,44.0
2017-06-08,2236,SEKHAR MARKET,TIRUMALA-50(13*16),400,13.8
2017-06-08,2236,SEKHAR MARKET,STRAW 1/4 PACKET,50,20.0
2017-06-08,2237,K.VENUGOPAL-RAPUR,APPLE 300ML,100,28.0
2017-06-08,2237,K.VENUGOPAL-RAPUR,LARGE FANCY IC,30,20.0
2017-06-08,2237,K.VENUGOPAL-RAPUR,BLACK DOG-350ML,50,26.0
2017-06-08,2237,K.VENUGOPAL-RAPUR,PAPER TEA -65ML,50,15.0
2017-06-08,2238,APM-VGIRI,10*12 RK,200,8.6
2017-06-08,2238,APM-VGIRI,13*16 WHITE RK,50,16.0
2017-06-08,2238,APM-VGIRI,10*10 SIVA SHEET,3,140.0
2017-06-08,2238,APM-VGIRI,PAPER TEA 80ML LONG,10,30.0
2017-06-08,2239,SRINU,4*5 TRISUL,100,13.5
2017-06-08,2239,SRINU,HIGH COUNT 10*12,10,140.0
2017-06-08,2239,SRINU,HIGH COUNT 16*20 BL,10,145.0
2017-06-08,2240,INDRA TRADERS-VGIRI,14 GREEN,1000,1.6
2017-06-08,2240,INDRA TRADERS-VGIRI,BLACK DOG-350ML,20,26.0
2017-06-08,2240,INDRA TRADERS-VGIRI,PAPER TEA 80ML LONG,20,29.0
2017-06-08,2240,INDRA TRADERS-VGIRI,VISHNU 250ML,50,30.0
2017-06-08,2240,INDRA TRADERS-VGIRI,TIRUMALA-50(16*20),50,26.0
2017-06-08,2240,INDRA TRADERS-VGIRI,GOLD LEAF SITTING,1,670.0
2017-06-08,2240,INDRA TRADERS-VGIRI,FANCY IC,20,20.0
2017-06-08,2240,INDRA TRADERS-VGIRI,SMARTBOUL GLA(4000),1,1680.0
2017-06-08,2241,SSB,BLACK DOG-350ML,100,26.0
2017-06-08,2243,VSP,TIFFIN PLATENO-10,70,15.0
2017-06-08,2244,K.SRIHARI,SILVER POUCH 7*9,100,55.0
2017-06-08,2244,K.SRIHARI,SILVER POUCH 8*10,80,70.0
2017-06-08,2245,MSN-UGIRI,CLASSIC 300ML,200,25.0
2017-06-08,2245,MSN-UGIRI,24*30 COVER,10,75.0
2017-06-08,2245,MSN-UGIRI,17*23 SANTOSH,10,35.0
2017-06-08,2245,MSN-UGIRI,20*26 COVER,10,59.0
2017-06-08,2245,MSN-UGIRI,DURGA 10*12 BK,400,5.5
2017-06-08,2245,MSN-UGIRI,DURGA 10*12 BLUE,400,5.5
2017-06-08,2245,MSN-UGIRI,N0-5,5,142.0
2017-06-08,2245,MSN-UGIRI,SILVER PLATE 7,200,5.0
2017-06-08,2245,MSN-UGIRI,PP +(6*7),5,132.0
2017-06-08,2245,MSN-UGIRI,LD 5*7,5,160.0
2017-06-08,2246,P.SRINIVASULU-RAILW,SPOON BIG CL,100,18.0
2017-06-08,2247,VENKATASETTY-PDKR,CLASSIC 250ML,100,24.0
2017-06-08,2248,PRAKASH KOTA,RASNA COVER,30,145.0
2017-06-08,2249,KVKC,PRINT 13*16 CARRY,10,110.0
2017-06-08,2249,KVKC,PRINT-16*20 CARRY,10,110.0
2017-06-08,2249,KVKC,TIRUMALA-50(13*16),100,14.0
2017-06-08,2249,KVKC,CYCLE-BLU-10*12,200,7.0
2017-06-08,2249,KVKC,10*10 MORE,10,135.0
2017-06-08,2249,KVKC,TIRUMALA LEAF(9),10,360.0
2017-06-08,2249,KVKC,4*5 MEET,20,16.0
2017-06-08,2250,LOCK,ROLLS,200,16.0
2017-06-08,2250,LOCK,VISHNU 250ML,200,31.0
2017-06-08,2251,JPR-BUCHI,TIFFIN PLATENO-10,50,17.0
2017-06-08,2251,JPR-BUCHI,SILVER POUCH 8*10,36,180.0
2017-06-08,2251,JPR-BUCHI,SILVER POUCH 7*9,6,180.0
2017-06-08,2251,JPR-BUCHI,SILVER POUCH 9*12,15,180.0
2017-06-08,2251,JPR-BUCHI,5*6 ANKIT(20MIC),250,21.0
2017-06-08,2252,SRI VASAVI TRADERS-,VISHNU CHOTA WINE,230,28.0
2017-06-08,2252,SRI VASAVI TRADERS-,PAPER TEA-75ML(100C,30,35.0
2017-06-08,2319,TP13,CLASSIC 250ML,100,24.0
2017-06-08,2319,TP13,250 ML PLASTIC BOUL,200,2.9
2017-06-08,2319,TP13,90ML RANGEELA,140,14.5
2017-06-08,2319,TP13,VISHNU 300ML,100,28.0
2017-06-08,2319,TP13,CLASSIC 300ML,100,24.5
2017-06-08,2319,TP13,APPLE WATER,200,21.0
2017-06-08,2319,TP13,BLACK DOG-350ML,200,25.5
2017-06-08,2319,TP13,APPLE 300ML,200,28.0
2017-06-08,2319,TP13,CLASSIC 250ML,100,24.0
2017-06-08,2319,TP13,LITE FOAM(1200),1,1620.0
2017-06-08,2319,TP13,CLASSIC ENJOY(750),1,1320.0
2017-06-08,2319,TP13,DURGA 13*16 BLUE,200,10.5
2017-06-08,2319,TP13,SILVER FOIL ROLL,5,180.0
2017-06-08,2319,TP13,CITIZEN 13*16-M.W,25,130.0
2017-06-08,2319,TP13,SILVER PLATE 6,200,3.5
2017-06-08,2339,TP13,APPLE 300ML,100,28.0
2017-06-08,2340,TP13,CLASSIC 250ML,100,24.0
2017-06-08,2341,SAIFANCY,VISHNU 300ML,100,28.5
2017-06-08,2342,LOCK,BLACK DOG-350ML,100,26.0
2017-06-08,2342,LOCK,APPLE WATER,100,22.0
2017-06-08,2343,TP13,VISHNU 300ML,50,28.0
2017-06-08,2343,TP13,13*16 BK KRISHNA,40,14.0
2017-06-09,2253,PENCHALAYYA-BRHMADE,CYCLE 10*12 BK KG,25,82.0
2017-06-09,2253,PENCHALAYYA-BRHMADE,CYCLE 13*16 BK KG,25,82.0
2017-06-09,2253,PENCHALAYYA-BRHMADE,GARUDA 10*12 BLUE,100,7.5
2017-06-09,2253,PENCHALAYYA-BRHMADE,GARUDA 13*16 BLUE,100,13.0
2017-06-09,2254,TVR-KVK,500ML PLASTIC BOULS,1000,3.65
2017-06-09,2254,TVR-KVK,MEDIUM BOUL CLA(540,2,2170.0
2017-06-09,2254,TVR-KVK,250 ML PLASTIC BOUL,1000,2.95
2017-06-09,2254,TVR-KVK,APPLE WATER,400,22.0
2017-06-09,2255,TVR-KVK,FOM-HEX(121*70),1,2300.0
2017-06-09,2256,PAPARAO,10*10 TEJA,25,125.0
2017-06-09,2256,PAPARAO,NO-1,3,145.0
2017-06-09,2256,PAPARAO,NO-0,3,145.0
2017-06-09,2256,PAPARAO,NO-2,1,145.0
2017-06-09,2256,PAPARAO,PRINTING PP 1KG,5,165.0
2017-06-09,2256,PAPARAO,22MRP THREADS,60,14.0
2017-06-09,2256,PAPARAO,SILVER POUCH 6*8,50,40.0
2017-06-09,2256,PAPARAO,SILVER POUCH 5*7,20,33.0
2017-06-09,2256,PAPARAO,TIRUMALA-50(16*20),120,26.0
2017-06-09,2256,PAPARAO,HIGH COUNT 16*20 BL,5,155.0
2017-06-09,2256,PAPARAO,14 GREEN,600,1.6
2017-06-09,2257,BASHA-PDKR,CLASSIC 250ML,100,24.0
2017-06-09,2258,SVR,DURGA 13*16 BLUE,200,11.0
2017-06-09,2258,SVR,TIRML-BL-KG-16*20,2,120.0
2017-06-09,2258,SVR,TIRML-BL-KG-17*23,2,120.0
2017-06-09,2258,SVR,14 GREEN,3000,1.6
2017-06-09,2258,SVR,CLASSIC 250ML,100,24.0
2017-06-09,2258,SVR,APPLE 300ML,100,29.0
2017-06-09,2258,SVR,APPLE WATER,100,22.0
2017-06-09,2259,INDRA TRADERS-VGIRI,PAPER JUICE 210ML,20,38.0
2017-06-09,2259,INDRA TRADERS-VGIRI,TIFFIN PLATENO-10,30,18.0
2017-06-09,2260,BSM-MTKR,GARUDA 10*12 BLUE,100,7.5
2017-06-09,2260,BSM-MTKR,GARUDA 13*16 BLUE,100,13.5
2017-06-09,2260,BSM-MTKR,5*6 POLY,20,21.0
2017-06-09,2260,BSM-MTKR,4*5 MEET,20,16.0
2017-06-09,2260,BSM-MTKR,SILVER POUCH 6*8,5,40.0
2017-06-09,2260,BSM-MTKR,NO-1,2,150.0
2017-06-09,2260,BSM-MTKR,N0-5,2,150.0
2017-06-09,2260,BSM-MTKR,NO-0,1,150.0
2017-06-09,2260,BSM-MTKR,NO-00,1,150.0
2017-06-09,2260,BSM-MTKR,TIRUMALA LEAF(9),1,370.0
2017-06-09,2261,SUNDHA PLASTICS,DONA-VAI-9100,6,1730.0
2017-06-09,2261,SUNDHA PLASTICS,LITE FOAM(1200),6,1620.0
2017-06-09,2261,SUNDHA PLASTICS,5*5 DONA(4500),1,2160.0
2017-06-09,2262,TADIKILABAZAAR SHOP,APPLE 300ML,200,28.0
2017-06-09,2263,MS WATERPLANT,VISHNU 300ML,400,28.0
2017-06-09,2264,RAMAKRISHNA PROVISI,10*10 TEJA,50,118.0
2017-06-09,2264,RAMAKRISHNA PROVISI,CYCLE 10*12 BK KG,25,78.0
2017-06-09,2264,RAMAKRISHNA PROVISI,CYCLE 13*16 BK KG,25,78.0
2017-06-09,2264,RAMAKRISHNA PROVISI,PRIYA 10*12-BLUE KG,75,90.0
2017-06-09,2265,MAHESWARI PROVISION,TIRUMALA-50(13*16),50,14.0
2017-06-09,2265,MAHESWARI PROVISION,TIRUMALA-50(16*20),50,26.0
2017-06-09,2265,MAHESWARI PROVISION,20*26 COVER,30,60.0
2017-06-09,2265,MAHESWARI PROVISION,24*30 COVER,30,80.0
2017-06-09,2265,MAHESWARI PROVISION,GARUDA 10*12 BLUE,100,7.5
2017-06-09,2266,SASANK PAPER AND PL,PAPER TEA,160,18.0
2017-06-09,2267,SANDHYA PLASTICS-PD,13*16 BK(100)KRISHN,30,16.0
2017-06-09,2267,SANDHYA PLASTICS-PD,DURGA 13*16 BK,20,11.0
2017-06-09,2267,SANDHYA PLASTICS-PD,DURGA 10*12 BLUE,50,5.5
2017-06-09,2268,K.SRIHARI,14 GREEN,4000,1.6
2017-06-09,2269,RAVI-VMR,DURGA 10*12 BK,400,5.5
2017-06-09,2269,RAVI-VMR,ROBO 10*12,400,4.6
2017-06-09,2270,ABC,14 GREEN,2000,1.6
2017-06-09,2271,CH.MALLIKARJUNA,VISHNU CHOTA WINE,100,24.0
2017-06-09,2272,SPM PROVISION-DAKKI,10*10 SIVA SHEET,10,140.0
2017-06-09,2272,SPM PROVISION-DAKKI,10*12 RK,100,8.5
2017-06-09,2272,SPM PROVISION-DAKKI,4*5 MEET,20,16.0
2017-06-09,2272,SPM PROVISION-DAKKI,5*6 POLY,20,21.0
2017-06-09,2272,SPM PROVISION-DAKKI,GARUDA 10*12 BLUE,100,7.5
2017-06-09,2272,SPM PROVISION-DAKKI,GARUDA 10*12 BK,100,7.5
2017-06-09,2272,SPM PROVISION-DAKKI,13*16 BK KRISHNA,50,14.0
2017-06-09,2272,SPM PROVISION-DAKKI,NO-00,2,145.0
2017-06-09,2272,SPM PROVISION-DAKKI,NO-0,2,145.0
2017-06-09,2272,SPM PROVISION-DAKKI,NO-1,2,145.0
2017-06-09,2272,SPM PROVISION-DAKKI,NO-2,2,145.0
2017-06-09,2272,SPM PROVISION-DAKKI,NO-3,1,145.0
2017-06-09,2272,SPM PROVISION-DAKKI,N0-5,2,145.0
2017-06-09,2273,RVRR,VISHNU 300ML,100,28.5
2017-06-09,2274,TGS-NPT,SMARTBOUL GLA(4000),1,1600.0
2017-06-09,2275,M.BHASKER,PAPER TEA 80ML LONG,160,21.0
2017-06-09,2275,M.BHASKER,TIFFIN PLATENO-10,20,18.0
2017-06-09,2275,M.BHASKER,"TIFFIN PLATES-9""",20,16.0
2017-06-09,2275,M.BHASKER,TIFFIN PLATES NO-8,20,14.0
2017-06-09,2275,M.BHASKER,TIRUMALA M.W 10*12,3,110.0
2017-06-09,2275,M.BHASKER,TIRUMALA M.W 13*16,3,110.0
2017-06-09,2275,M.BHASKER,TIRUMALA 16*20 M.W,3,110.0
2017-06-09,2275,M.BHASKER,17*23 KESHAV M.W,3,110.0
2017-06-09,2276,ABC,14 5PLAY PLATES,800,2.6
2017-06-09,2276,ABC,LITEFOAM COLOUR(120,1,1800.0
2017-06-09,2277,S.RAMMOHAN-NELLORE,CLASSIC 250ML,200,24.0
2017-06-09,2277,S.RAMMOHAN-NELLORE,APPLE WATER,200,21.5
2017-06-09,2278,KVK,500ML PLASTIC BOULS,1000,3.7
2017-06-09,2278,KVK,250 ML PLASTIC BOUL,1000,3.0
2017-06-09,2278,KVK,1000ML CONTAINER,600,8.0
2017-06-09,2278,KVK,750ML CONTAINER,600,7.0
2017-06-09,2278,KVK,TIFFIN PLATENO-10,200,14.5
2017-06-09,2278,KVK,10*15 STAR-DCUT,35,86.0
2017-06-09,2278,KVK,12*18 STAR-CUT,35,86.0
2017-06-09,2278,KVK,APPLE WATER,500,22.0
2017-06-09,2278,KVK,CLASSIC 250ML,400,24.5
2017-06-09,2278,KVK,LITE FOAM(1200),7,1680.0
2017-06-09,2278,KVK,SAGAR 80ML,400,12.0
2017-06-09,2278,KVK,APPLE 300ML,400,29.0
2017-06-09,2279,LAKSHMIFANCY,10*15 STAR-DCUT,20,90.0
2017-06-09,2279,LAKSHMIFANCY,12*18 STAR-CUT,20,90.0
2017-06-09,2279,LAKSHMIFANCY,14*20 STAR-DCUT,20,90.0
2017-06-09,2279,LAKSHMIFANCY,"TAPE ROLL 2"" 50MTRS",6,125.0
2017-06-09,2279,LAKSHMIFANCY,"TAPE ROLL 2"" 50MTRS",6,125.0
2017-06-09,2279,LAKSHMIFANCY,PP 5*7,5,138.0
2017-06-09,2279,LAKSHMIFANCY,PP 6*7,5,138.0
2017-06-09,2279,LAKSHMIFANCY,NO-1,1,142.0
2017-06-09,2279,LAKSHMIFANCY,NO-2,1,142.0
2017-06-09,2279,LAKSHMIFANCY,NO-3,1,142.0
2017-06-09,2279,LAKSHMIFANCY,9*12 100 PCS,5,75.0
2017-06-09,2279,LAKSHMIFANCY,8*11 100 PCS,5,65.0
2017-06-09,2280,PENCHALAYYA-K,APPLE 300ML,100,27.5
2017-06-09,2281,GANESHMESS,DHARAM 1KG,10,110.0
2017-06-09,2281,GANESHMESS,RUBBER,3,290.0
2017-06-09,2281,GANESHMESS,5*6 ANKIT(20MIC),840,23.0
2017-06-09,2281,GANESHMESS,CITIZEN 13*16-M.W,50,123.0
2017-06-09,2282,KALIYAPPAN-VGIRI,CYCLE-BK-13*16,100,13.0
2017-06-09,2282,KALIYAPPAN-VGIRI,CYCLE-BLU-13*16,20,13.0
